symbol,R1,R2,R3,S1,S2,S3
OLECTRA,1243.900833,1248.401667,1252.9025,1234.899167,1230.398333,1225.8975
PAYTM,1331.166667,1333.733333,1336.3,1326.033333,1323.466667,1320.9
ONESOURCE,1672.438333,1677.076667,1681.715,1663.161667,1658.523333,1653.885
OFSS,8206.7625,8222.025,8237.2875,8176.2375,8160.975,8145.7125
PGHH,12688.23333,12705.46667,12722.7,12653.76667,12636.53333,12619.3
PAGEIND,37558.625,37612.25,37665.875,37451.375,37397.75,37344.125
PATANJALI,532.17375,535.5975,539.02125,525.32625,521.9025,518.47875
POLICYBZR,1858.791667,1863.283333,1867.775,1849.808333,1845.316667,1840.825
PCBL,316.2825,316.915,317.5475,315.0175,314.385,313.7525
PERSISTENT,6469.829167,6487.658333,6505.4875,6434.170833,6416.341667,6398.5125
PETRONET,281.8941667,282.8383333,283.7825,280.0058333,279.0616667,278.1175
PFIZER,5007.499167,5013.998333,5020.4975,4994.500833,4988.001667,4981.5025
PGEL,580.9475,582.845,584.7425,577.1525,575.255,573.3575
PIIND,3413.999167,3418.298333,3422.5975,3405.400833,3401.101667,3396.8025
PIDILITIND,1485.745,1486.79,1487.835,1483.655,1482.61,1481.565
PPLPHARMA,181.1158333,181.3816667,181.6475,180.5841667,180.3183333,180.0525
PNBHOUSING,883.6570833,885.0641667,886.47125,880.8429167,879.4358333,878.02875
POLYMED,1913.265833,1915.731667,1918.1975,1908.334167,1905.868333,1903.4025
POLYCAB,7362.204167,7375.908333,7389.6125,7334.795833,7321.091667,7307.3875
POONAWALLA,464.8941667,465.8383333,466.7825,463.0058333,462.0616667,461.1175
PFC,352.42125,352.7925,353.16375,351.67875,351.3075,350.93625
POWERGRID,269.5216667,269.9433333,270.365,268.6783333,268.2566667,267.835
PRAJIND,315.5695833,316.2891667,317.00875,314.1304167,313.4108333,312.69125
PREMIERENE,945.2591667,948.5683333,951.8775,938.6408333,935.3316667,932.0225
PRESTIGE,1662.665,1666.13,1669.595,1655.735,1652.27,1648.805
PTCIL,18325.81667,18391.63333,18457.45,18194.18333,18128.36667,18062.55
PNB,119.7124167,119.8948333,120.07725,119.3475833,119.1651667,118.98275
PVRINOX,1101.6075,1105.815,1110.0225,1093.1925,1088.985,1084.7775
RRKABEL,1396.3925,1397.685,1398.9775,1393.8075,1392.515,1391.2225
RADICO,3221.353333,3226.706667,3232.06,3210.646667,3205.293333,3199.94
RVNL,312.9225,313.445,313.9675,311.8775,311.355,310.8325
RAILTEL,331.2975,332.095,332.8925,329.7025,328.905,328.1075
RAINBOW,1349.011667,1350.423333,1351.835,1346.188333,1344.776667,1343.365
RKFORGE,532.0141667,532.6283333,533.2425,530.7858333,530.1716667,529.5575
RCF,135.6678333,135.8456667,136.0235,135.3121667,135.1343333,134.9565
RBLBANK,299.1925,299.935,300.6775,297.7075,296.965,296.2225
RECLTD,353.1625,353.575,353.9875,352.3375,351.925,351.5125
REDINGTON,279.0675,279.535,280.0025,278.1325,277.665,277.1975
RELIANCE,1539.5325,1543.465,1547.3975,1531.6675,1527.735,1523.8025
RPOWER,38.26891667,38.35783333,38.44675,38.09108333,38.00216667,37.91325
RHIM,453.3883333,454.1766667,454.965,451.8116667,451.0233333,450.235
RITES,229.524,229.788,230.052,228.996,228.732,228.468
SAGILITY,50.10516667,50.18033333,50.2555,49.95483333,49.87966667,49.8045
SAILIFE,869.0766667,870.6533333,872.23,865.9233333,864.3466667,862.77
SAMMAANCAP,150.361,151.032,151.703,149.019,148.348,147.677
MOTHERSON,117.71125,117.8625,118.01375,117.40875,117.2575,117.10625
SAPPHIRE,255.0525,255.795,256.5375,253.5675,252.825,252.0825
SARDAEN,481.6575,482.565,483.4725,479.8425,478.935,478.0275
SAREGAMA,368.6954167,369.2408333,369.78625,367.6045833,367.0591667,366.51375
SBFC,106.0199167,106.1198333,106.21975,105.8200833,105.7201667,105.62025
SBICARD,857.8341667,859.7683333,861.7025,853.9658333,852.0316667,850.0975
SBILIFE,2007.483333,2012.066667,2016.65,1998.316667,1993.733333,1989.15
SCHAEFFLER,3894.933333,3900.066667,3905.2,3884.666667,3879.533333,3874.4
SCHNEIDER,764.4483333,766.4466667,768.445,760.4516667,758.4533333,756.455
SCI,229.2594167,229.8488333,230.43825,228.0805833,227.4911667,226.90175
SHREECEM,26478.41667,26506.83333,26535.25,26421.58333,26393.16667,26364.75
SHRIRAMFIN,829.525,830.9,832.275,826.775,825.4,824.025
SHYAMMETL,802.1945833,803.1891667,804.18375,800.2054167,799.2108333,798.21625
ENRIN,3109.866667,3119.033333,3128.2,3091.533333,3082.366667,3073.2
SIEMENS,3368.183333,3373.866667,3379.55,3356.816667,3351.133333,3345.45
SIGNATURE,1120.635833,1122.771667,1124.9075,1116.364167,1114.228333,1112.0925
SJVN,75.48083333,75.58166667,75.6825,75.27916667,75.17833333,75.0775
SKFINDIA,1898.858333,1905.916667,1912.975,1884.741667,1877.683333,1870.625
SOBHA,1542.071667,1545.243333,1548.415,1535.728333,1532.556667,1529.385
SOLARINDS,12967.30833,12993.61667,13019.925,12914.69167,12888.38333,12862.075
SONACOMS,500.8554167,502.0608333,503.26625,498.4445833,497.2391667,496.03375
SONATSOFTW,366.5629167,367.5758333,368.58875,364.5370833,363.5241667,362.51125
SRF,2843.189167,2846.278333,2849.3675,2837.010833,2833.921667,2830.8325
STARHEALTH,466.0770833,467.1541667,468.23125,463.9229167,462.8458333,461.76875
SBIN,948.8425,949.585,950.3275,947.3575,946.615,945.8725
SAIL,132.382,132.624,132.866,131.898,131.656,131.414
SUMICHEM,466.3675,467.385,468.4025,464.3325,463.315,462.2975
SUNPHARMA,1820.5825,1822.865,1825.1475,1816.0175,1813.735,1811.4525
SUNTV,554.3183333,554.8866667,555.455,553.1816667,552.6133333,552.045
SUNDARMFIN,4675.720833,4683.741667,4691.7625,4659.679167,4651.658333,4643.6375
SUNDRMFAST,939.1383333,940.4766667,941.815,936.4616667,935.1233333,933.785
SUPREMEIND,3346.6,3352.1,3357.6,3335.6,3330.1,3324.6
SUZLON,51.05533333,51.26066667,51.466,50.64466667,50.43933333,50.234
SWANCORP,455.0058333,456.2616667,457.5175,452.4941667,451.2383333,449.9825
SWIGGY,402.3291667,403.1083333,403.8875,400.7708333,399.9916667,399.2125
SYNGENE,643.62875,644.9075,646.18625,641.07125,639.7925,638.51375
SYRMA,788.0054167,789.7608333,791.51625,784.4945833,782.7391667,780.98375
TATACHEM,782.8516667,783.6033333,784.355,781.3483333,780.5966667,779.845
TATACOMM,1850.255833,1853.711667,1857.1675,1843.344167,1839.888333,1836.4325
TCS,3234.938333,3240.676667,3246.415,3223.461667,3217.723333,3211.985
TATACONSUM,1149.949167,1151.498333,1153.0475,1146.850833,1145.301667,1143.7525
TATAELXSI,5224.520833,5232.541667,5240.5625,5208.479167,5200.458333,5192.4375
TATAINVEST,717.1729167,718.8458333,720.51875,713.8270833,712.1541667,710.48125
TMPV,356.9266667,357.4033333,357.88,355.9733333,355.4966667,355.02
TATAPOWER,384.8945833,385.3391667,385.78375,384.0054167,383.5608333,383.11625
TATASTEEL,166.93225,167.0945,167.25675,166.60775,166.4455,166.28325
TATATECH,675.1833333,675.9166667,676.65,673.7166667,672.9833333,672.25
TTML,50.41166667,50.50333333,50.595,50.22833333,50.13666667,50.045
TBOTEK,1675.388333,1679.476667,1683.565,1667.211667,1663.123333,1659.035
TECHM,1565.673333,1569.046667,1572.42,1558.926667,1555.553333,1552.18
TECHNOE,1111.605,1115.51,1119.415,1103.795,1099.89,1095.985
TEJASNET,503.2520833,504.0541667,504.85625,501.6479167,500.8458333,500.04375
GESHIP,1105.833333,1107.666667,1109.5,1102.166667,1100.333333,1098.5
INDIACEM,415.7845833,419.4191667,423.05375,408.5154167,404.8808333,401.24625
INDHOTEL,730.4345833,731.3191667,732.20375,728.6654167,727.7808333,726.89625
NIACL,163.6278333,163.9156667,164.2035,163.0521667,162.7643333,162.4765
PHOENIXLTD,1736.245,1738.39,1740.535,1731.955,1729.81,1727.665
RAMCOCEM,1016.985833,1018.571667,1020.1575,1013.814167,1012.228333,1010.6425
THERMAX,2873.1425,2877.185,2881.2275,2865.0575,2861.015,2856.9725
TIMKEN,3142.808333,3151.516667,3160.225,3125.391667,3116.683333,3107.975
TITAGARH,790.4875,792.275,794.0625,786.9125,785.125,783.3375
TITAN,3805.166667,3809.933333,3814.7,3795.633333,3790.866667,3786.1
TORNTPHARM,3803.7575,3811.815,3819.8725,3787.6425,3779.585,3771.5275
TORNTPOWER,1302.055833,1304.411667,1306.7675,1297.344167,1294.988333,1292.6325
TARIL,245.1975,245.995,246.7925,243.6025,242.805,242.0075
TRENT,4222.555833,4229.311667,4236.0675,4209.044167,4202.288333,4195.5325
TRIDENT,28.00291667,28.02583333,28.04875,27.95708333,27.93416667,27.91125
TRIVENI,354.41375,354.9775,355.54125,353.28625,352.7225,352.15875
TRITURBINE,538.86875,539.4875,540.10625,537.63125,537.0125,536.39375
TIINDIA,2708.155833,2712.711667,2717.2675,2699.044167,2694.488333,2689.9325
TVSMOTOR,3651.120833,3655.841667,3660.5625,3641.679167,3636.958333,3632.2375
UCOBANK,29.73233333,29.79466667,29.857,29.60766667,29.54533333,29.483
ULTRACEMCO,11617.80833,11627.61667,11637.425,11598.19167,11588.38333,11578.575
UNIONBANK,152.716,153.002,153.288,152.144,151.858,151.572
UBL,1698.855,1704.41,1709.965,1687.745,1682.19,1676.635
UNITDSPR,1433.916667,1435.933333,1437.95,1429.883333,1427.866667,1425.85
UNOMINDA,1273.669167,1275.438333,1277.2075,1270.130833,1268.361667,1266.5925
UPL,757.7058333,758.9616667,760.2175,755.1941667,753.9383333,752.6825
USHAMART,438.6295833,441.1091667,443.58875,433.6704167,431.1908333,428.71125
UTIAMC,1146.015,1147.83,1149.645,1142.385,1140.57,1138.755
VGUARD,338.4354167,338.8708333,339.30625,337.5645833,337.1291667,336.69375
DBREALTY,122.6875,123.155,123.6225,121.7525,121.285,120.8175
VTL,432.6545833,433.2091667,433.76375,431.5454167,430.9908333,430.43625
VBL,481.2566667,482.6133333,483.97,478.5433333,477.1866667,475.83
MANYAVAR,605.51,606.17,606.83,604.19,603.53,602.87
VEDL,531.0020833,532.3541667,533.70625,528.2979167,526.9458333,525.59375
VENTIVE,722.1583333,723.7166667,725.275,719.0416667,717.4833333,715.925
VIJAYA,1090.02375,1100.0475,1110.07125,1069.97625,1059.9525,1049.92875
VMM,133.9575833,134.1051667,134.25275,133.6624167,133.5148333,133.36725
IDEA,10.73866667,10.79733333,10.856,10.62133333,10.56266667,10.504
VOLTAS,1331.031667,1332.663333,1334.295,1327.768333,1326.136667,1324.505
WAAREEENER,2998.325,3012.35,3026.375,2970.275,2956.25,2942.225
WELCORP,828.60875,829.6675,830.72625,826.49125,825.4325,824.37375
WELSPUNLIV,137.0644167,137.3788333,137.69325,136.4355833,136.1211667,135.80675
WHIRLPOOL,982.3083333,985.5166667,988.725,975.8916667,972.6833333,969.475
WIPRO,257.2325,257.535,257.8375,256.6275,256.325,256.0225
WOCKPHARMA,1342.1025,1352.305,1362.5075,1321.6975,1311.495,1301.2925
YESBANK,22.81866667,22.87733333,22.936,22.70133333,22.64266667,22.584
ZEEL,98.06641667,98.29283333,98.51925,97.61358333,97.38716667,97.16075
ZENTEC,1376.249167,1377.798333,1379.3475,1373.150833,1371.601667,1370.0525
ZENSARTECH,752.6979167,754.6458333,756.59375,748.8020833,746.8541667,744.90625
ZFCVINDIA,14899.65,14934.3,14968.95,14830.35,14795.7,14761.05
ZYDUSLIFE,936.8133333,937.8766667,938.94,934.6866667,933.6233333,932.56
