symbol,R1,R2,R3,S1,S2,S3
BHARTIHEXA,1768.933333,1772.966667,1777,1760.866667,1756.833333,1752.8
BHEL,276.2220833,276.6941667,277.16625,275.2779167,274.8058333,274.33375
BIKAJI,714.8475,717.295,719.7425,709.9525,707.505,705.0575
BIOCON,390.8754167,393.4008333,395.92625,385.8245833,383.2991667,380.77375
BSOFT,438.0220833,440.1441667,442.26625,433.7779167,431.6558333,429.53375
BLS,333.1083333,334.6666667,336.225,329.9916667,328.4333333,326.875
BLUEDART,5598.6,5605.2,5611.8,5585.4,5578.8,5572.2
BLUEJET,557.1375,559.475,561.8125,552.4625,550.125,547.7875
BLUESTARCO,1754.783333,1757.166667,1759.55,1750.016667,1747.633333,1745.25
BBTC,1860.006667,1863.013333,1866.02,1853.993333,1850.986667,1847.98
BOSCHLTD,36907.33333,36969.66667,37032,36782.66667,36720.33333,36658
FIRSTCRY,298.5104167,299.2208333,299.93125,297.0895833,296.3791667,295.66875
BRIGADE,893.42,895.29,897.16,889.68,887.81,885.94
BRITANNIA,5881.816667,5887.133333,5892.45,5871.183333,5865.866667,5860.55
BSE,2770.041667,2775.083333,2780.125,2759.958333,2754.916667,2749.875
MAPMYINDIA,1682.345,1685.59,1688.835,1675.855,1672.61,1669.365
CAMPUS,273.5529167,273.9058333,274.25875,272.8470833,272.4941667,272.14125
CANFINHOME,894.05625,895.3625,896.66875,891.44375,890.1375,888.83125
CANBK,147.6631667,147.9363333,148.2095,147.1168333,146.8436667,146.5705
CAPLIPOINT,1986.421667,1996.743333,2007.065,1965.778333,1955.456667,1945.135
CGCL,188.0339167,188.3978333,188.76175,187.3060833,186.9421667,186.57825
CARBORUNIV,881.3683333,883.0366667,884.705,878.0316667,876.3633333,874.695
CASTROLIND,191.4156667,191.5513333,191.687,191.1443333,191.0086667,190.873
CCL,979.6875,982.575,985.4625,973.9125,971.025,968.1375
CEATLTD,3899.0675,3909.435,3919.8025,3878.3325,3867.965,3857.5975
CENTRALBK,37.11591667,37.17183333,37.22775,37.00408333,36.94816667,36.89225
CDSL,1538.9125,1541.525,1544.1375,1533.6875,1531.075,1528.4625
CENTURYPLY,800.8933333,802.8366667,804.78,797.0066667,795.0633333,793.12
CERA,5413.479167,5421.958333,5430.4375,5396.520833,5388.041667,5379.5625
CESC,176.1505,176.431,176.7115,175.5895,175.309,175.0285
CGPOWER,663.0970833,663.8441667,664.59125,661.6029167,660.8558333,660.10875
CHALET,899.2183333,901.4366667,903.655,894.7816667,892.5633333,890.345
CHAMBLFERT,433.8720833,434.3441667,434.81625,432.9279167,432.4558333,431.98375
CHENNPETRO,932.9075,935.465,938.0225,927.7925,925.235,922.6775
